created_at,id,Topics,Sentiment,full_text,source,user,retweet_count,lang
11/23/2021 19:40,1463306589226639370,Covid politics,neg,"This is the kind of tinfoil hat wearing nut jobs that the Republican Party is FEASTING on right now.  Dumb, ignorant, and easily swayed into a stupid belief. Like covid vaccines are giving people AIDS.yep, heard that one from a local head-case https://t.co/FDfPCwrsaJ","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 38359735, 'id_str': '38359735', 'name': 'Jim yes Im vaccinated Sapp', 'screen_name': 'jimbosapp', 'location': 'Chipley, FL', 'description': 'Fight, fight, fight for FSU......', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 154, 'friends_count': 1104, 'listed_count': 2, 'created_at': 'Thu May 07 03:39:06 +0000 2009', 'favourites_count': 9747, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 15511, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'EBEBEB', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1287209556939087875/sxDqsMYq_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1287209556939087875/sxDqsMYq_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/38359735/1603511322', 'profile_link_color': '990000', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306568707891201,,neu,This person insists having Covid doesnt give you any immunity. How did we get here? https://t.co/UUpNcf3sg5,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 973013557297082368, 'id_str': '973013557297082368', 'name': '??TheModernMarilyn', 'screen_name': 'GlamGabber', 'location': 'Phoenix, AZ', 'description': '???? I FB all Patriots. Support the Constitution; 1A 2A NRA Happily Married. AZ Conservative with a JD ???? Parler: @GlamGabber', 'url': 'https://t.co/XVsc98HUZi', 'entities': {'url': {'urls': [{'url': 'https://t.co/XVsc98HUZi', 'expanded_url': 'http://gab.ai/BlondeAmbition', 'display_url': 'gab.ai/BlondeAmbition', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 4542, 'friends_count': 4502, 'listed_count': 2, 'created_at': 'Mon Mar 12 01:51:24 +0000 2018', 'favourites_count': 168296, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 150056, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/973014010319679488/Lf1cqUQk_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/973014010319679488/Lf1cqUQk_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/973013557297082368/1520989495', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",1,en
11/23/2021 19:40,1463306568326266881,Covid symptoms,neu,Raptor update: havent gotten an update on Blue but the rest of her litter is doing well minus the runny eyes. I completely cleaned their room the best I could considering this virus is extremely hard to get rid of.,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 14875447, 'id_str': '14875447', 'name': 'Lisa', 'screen_name': 'morethanfine', 'location': 'California', 'description': 'She/Her. Vegan. Wannabe Runner. Reader. Fangirl. Disneyland. BHer for Life. Gold Blooded. #tiuteam Admin/Site Founder for @Winchesterbros', 'url': 'https://t.co/GEIhFOAaTU', 'entities': {'url': {'urls': [{'url': 'https://t.co/GEIhFOAaTU', 'expanded_url': 'http://winchesterbros.com', 'display_url': 'winchesterbros.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 631, 'friends_count': 437, 'listed_count': 32, 'created_at': 'Fri May 23 00:40:36 +0000 2008', 'favourites_count': 9555, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 51283, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'EA8E6D', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme8/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme8/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/798220772326064129/cyjyuGgn_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/798220772326064129/cyjyuGgn_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/14875447/1394655761', 'profile_link_color': '8E3F2D', 'profile_sidebar_border_color': '695A5A', 'profile_sidebar_fill_color': 'FEECAB', 'profile_text_color': '333333', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306566581600260,Covid politics,neu,"EXC: Gates Foundation Sent Over $54 Million To China Since COVID, Including To Wuhan Collaborators. https://t.co/5qmI1jyL50","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","{'id': 705903542049976320, 'id_str': '705903542049976320', 'name': 'Mouthy, but honest.', 'screen_name': 'JCBaileyHickman', 'location': ' USA', 'description': 'Just joined Gettr...  1_JustJan  , Hope to see you there.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 210, 'friends_count': 264, 'listed_count': 3, 'created_at': 'Fri Mar 04 23:51:34 +0000 2016', 'favourites_count': 13013, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 19720, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme4/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1349789933406474247/075P3oFB_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1349789933406474247/075P3oFB_normal.jpg', 'profile_link_color': '19CF86', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306554782982145,Covid symptoms,neu,COVID-19 outbreak hits adult correctional facility in Plymouth https://t.co/mcdkLkXLBJ,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","{'id': 1116694966414336000, 'id_str': '1116694966414336000', 'name': 'Sean Williams', 'screen_name': 'Irishmn60', 'location': 'Naples FL', 'description': '#Resist #FBR #GOPSeditiousTraitors. #TrumpVirus #WearAMask #GOPBetrayedAmerica #GetVaccinated #DumpDeSantis #DrCole', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 12681, 'friends_count': 12689, 'listed_count': 7, 'created_at': 'Fri Apr 12 13:30:01 +0000 2019', 'favourites_count': 159697, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 111142, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1345513881523912707/QgWt6PhO_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1345513881523912707/QgWt6PhO_normal.jpg', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306547560390660,Measure and management ,neu,"We cant let this happen upstate or anywhere in New York. 

New York state needs to act now to stop our hospitals from overflowing and we need to move fast to get #COVID under control. https://t.co/HZLNA4IZxf","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 28502793, 'id_str': '28502793', 'name': 'Tish James', 'screen_name': 'TishJames', 'location': 'New York', 'description': 'Born & bred Brooklynite. New York Attorney General. Candidate for Governor of New York. Fighting for the change that New Yorkers deserve.', 'url': 'https://t.co/ES7fOA56fR', 'entities': {'url': {'urls': [{'url': 'https://t.co/ES7fOA56fR', 'expanded_url': 'http://www.jamesforny.com', 'display_url': 'jamesforny.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 137443, 'friends_count': 2043, 'listed_count': 1170, 'created_at': 'Fri Apr 03 04:25:00 +0000 2009', 'favourites_count': 1075, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': True, 'statuses_count': 10882, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/718092383230017536/lTVs6oar_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/718092383230017536/lTVs6oar_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/28502793/1635528768', 'profile_link_color': '0084B4', 'profile_sidebar_border_color': 'FFFFFF', 'profile_sidebar_fill_color': 'DDFFCC', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306545907867651,Measure and management ,neg,"I just left my dads small town where covid is over, in spite of a literally full hospital and 17% positivity rate. No masks in stores, restaurants, etc. I genuinely dont know how this ends. Its as if weve all just closed our eyes. https://t.co/UKp43UAxfY","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 718133547702358016, 'id_str': '718133547702358016', 'name': 'Laura Wing-Kamoosi', 'screen_name': 'laurawk73', 'location': 'Brooklyn, NY', 'description': 'Documentary and commercial director. Mom. Owned by a five pound chihuahua. ????', 'url': 'https://t.co/CJprvv4ZGd', 'entities': {'url': {'urls': [{'url': 'https://t.co/CJprvv4ZGd', 'expanded_url': 'http://www.reclaimidahofilm.com', 'display_url': 'reclaimidahofilm.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 218, 'friends_count': 579, 'listed_count': 0, 'created_at': 'Thu Apr 07 17:49:14 +0000 2016', 'favourites_count': 7555, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 2152, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1380905771643367425/TXXJlNTT_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1380905771643367425/TXXJlNTT_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/718133547702358016/1534937715', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306541700845568,Vaccine efficacy,neu,The only thin the country got out of Joe rogans COVID is that ivermectin is dangerous (its safer than any known antibiotic). The dude got better in 3 days and tested neg after 5. Im Vax and got #COVID. Had symptoms for 30 days. You would think ppl would care about his approach,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","{'id': 1264283407615266817, 'id_str': '1264283407615266817', 'name': 'Norman Jean', 'screen_name': 'itsnormanjean', 'location': 'Los Angeles, CA', 'description': '(18+) Filmmaker@Junk Productions - For Full Access to Content Subscribe at https://t.co/G3EWYPwbzr. https://t.co/Mr4X8DtevZ', 'url': 'https://t.co/kYvbPRzKlL', 'entities': {'url': {'urls': [{'url': 'https://t.co/kYvbPRzKlL', 'expanded_url': 'http://www.JunkXXX.com', 'display_url': 'JunkXXX.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/G3EWYPwbzr', 'expanded_url': 'http://Onlyfans.com/itsnormanjean', 'display_url': 'Onlyfans.com/itsnormanjean', 'indices': [75, 98]}, {'url': 'https://t.co/Mr4X8DtevZ', 'expanded_url': 'http://linktr.ee/itsnormanjean', 'display_url': 'linktr.ee/itsnormanjean', 'indices': [100, 123]}]}}, 'protected': False, 'followers_count': 329, 'friends_count': 295, 'listed_count': 4, 'created_at': 'Sat May 23 19:53:58 +0000 2020', 'favourites_count': 247, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 426, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1439623997352644612/K6keByHv_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1439623997352644612/K6keByHv_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1264283407615266817/1634659305', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306536793645056,,,"""A CRAZY MESS""!! #Pfizer #Whistleblower SLAMS #VaccineTrials #COVID19 #covid #vaccines 
https://t.co/TPs2uqIZ6r via @YouTube","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","{'id': 1131759368616198144, 'id_str': '1131759368616198144', 'name': 'ESO', 'screen_name': 'nftartny', 'location': 'New York', 'description': 'Humanitarian Artist Designer Activist Empath Lover Healer Warrior Vegetarian Animal Freak\n\nContemporary & NFT Artist\n*\nhttps://t.co/RyiQBXNGxb\n*', 'url': 'https://t.co/BrcXHvjCBe', 'entities': {'url': {'urls': [{'url': 'https://t.co/BrcXHvjCBe', 'expanded_url': 'http://www.esinkosoglu.com', 'display_url': 'esinkosoglu.com', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/RyiQBXNGxb', 'expanded_url': 'http://opensea.io/account', 'display_url': 'opensea.io/account', 'indices': [129, 152]}]}}, 'protected': False, 'followers_count': 279, 'friends_count': 206, 'listed_count': 2, 'created_at': 'Fri May 24 03:10:35 +0000 2019', 'favourites_count': 762, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 4629, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '000000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1453992157493305344/DIKbuDwh_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1453992157493305344/DIKbuDwh_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1131759368616198144/1634530317', 'profile_link_color': 'FF691F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': '000000', 'profile_text_color': '000000', 'profile_use_background_image': False, 'has_extended_profile': True, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
11/23/2021 19:40,1463306535631835138,Vaccine efficacy,neu,"Just got my COVID booster, how long until this 5g is supposed to kick in?

The first two shots didn't help my cell reception at all.","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","{'id': 480817557, 'id_str': '480817557', 'name': '@Harold_Gibbons', 'screen_name': 'Harold_Gibbons', 'location': 'NYC', 'description': '?? He/Him\n\n?? Movement GPS\n\n?? Doing virtual coaching during #COVID19\n\n???\u200d?? Coach @mffclubhouse\n\n?? Husband @kktapper', 'url': 'https://t.co/FjMRY8CGyG', 'entities': {'url': {'urls': [{'url': 'https://t.co/FjMRY8CGyG', 'expanded_url': 'https://linktr.ee/harold_gibbons', 'display_url': 'linktr.ee/harold_gibbons', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 1246, 'friends_count': 1149, 'listed_count': 28, 'created_at': 'Wed Feb 01 23:12:23 +0000 2012', 'favourites_count': 21965, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 14451, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '131516', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1375891897588314115/KPp5u4ET_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1375891897588314115/KPp5u4ET_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/480817557/1498181523', 'profile_link_color': 'FF691F', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': False, 'follow_request_sent': False, 'notifications': False, 'translator_type': 'none', 'withheld_in_countries': []}",0,en
